Date,Open,High,Low,Close,Adj Close,Volume
02/01/1981,0.154018,0.155134,0.154018,0.154018,0.119849,21660800
05/01/1981,0.151228,0.151228,0.15067,0.15067,0.117244,35728000
06/01/1981,0.144531,0.144531,0.143973,0.143973,0.112032,45158400
07/01/1981,0.138393,0.138393,0.137835,0.137835,0.107256,55686400
08/01/1981,0.135603,0.135603,0.135045,0.135045,0.105085,39827200
09/01/1981,0.142299,0.142857,0.142299,0.142299,0.11073,21504000
12/01/1981,0.142299,0.142299,0.141183,0.141183,0.109861,23699200
13/01/1981,0.136719,0.136719,0.136161,0.136161,0.105953,23049600
14/01/1981,0.136719,0.137277,0.136719,0.136719,0.106388,14291200
15/01/1981,0.139509,0.140625,0.139509,0.139509,0.108559,14067200
16/01/1981,0.138951,0.138951,0.138393,0.138393,0.10769,13395200
19/01/1981,0.146763,0.147321,0.146763,0.146763,0.114203,41574400
20/01/1981,0.142857,0.142857,0.142299,0.142299,0.11073,30083200
21/01/1981,0.145089,0.146205,0.145089,0.145089,0.112901,15904000
22/01/1981,0.146763,0.147879,0.146763,0.146763,0.114203,35548800
23/01/1981,0.146763,0.147321,0.146205,0.146205,0.113769,11222400
26/01/1981,0.144531,0.144531,0.143973,0.143973,0.112032,24640000
27/01/1981,0.143973,0.143973,0.142857,0.142857,0.111164,23699200
28/01/1981,0.138951,0.138951,0.138393,0.138393,0.10769,28156800
29/01/1981,0.133929,0.133929,0.133371,0.133371,0.103782,43904000
30/01/1981,0.127232,0.127232,0.126116,0.126116,0.098137,46188800
02/02/1981,0.11942,0.11942,0.118862,0.118862,0.092492,23766400
03/02/1981,0.123326,0.123884,0.123326,0.123326,0.095966,19152000
04/02/1981,0.12779,0.128348,0.12779,0.12779,0.09944,27865600
05/02/1981,0.12779,0.128906,0.12779,0.12779,0.09944,7929600
06/02/1981,0.128348,0.128906,0.128348,0.128348,0.099874,13865600
09/02/1981,0.122768,0.122768,0.121652,0.121652,0.094663,16755200
10/02/1981,0.121652,0.12221,0.121652,0.121652,0.094663,18345600
11/02/1981,0.118304,0.118304,0.117746,0.117746,0.091624,13843200
12/02/1981,0.117188,0.117188,0.116629,0.116629,0.090755,14560000
13/02/1981,0.114955,0.114955,0.113839,0.113839,0.088584,11155200
17/02/1981,0.116629,0.117188,0.116629,0.116629,0.090755,12275200
18/02/1981,0.121652,0.122768,0.121652,0.121652,0.094663,19241600
19/02/1981,0.114955,0.114955,0.114397,0.114397,0.089018,22310400
20/02/1981,0.108817,0.108817,0.108259,0.108259,0.084242,24371200
23/02/1981,0.109933,0.110491,0.109933,0.109933,0.085544,14112000
24/02/1981,0.107143,0.107143,0.106027,0.106027,0.082505,16979200
25/02/1981,0.112723,0.113281,0.112723,0.112723,0.087715,19488000
26/02/1981,0.114397,0.114955,0.114397,0.114397,0.089018,10841600
27/02/1981,0.118304,0.11942,0.118304,0.118304,0.092058,14761600
02/03/1981,0.118862,0.11942,0.118862,0.118862,0.092492,11760000
03/03/1981,0.117746,0.117746,0.117188,0.117188,0.09119,16172800
04/03/1981,0.116629,0.116629,0.116071,0.116071,0.09032,13708800
05/03/1981,0.116071,0.116071,0.115513,0.115513,0.089886,5376000
06/03/1981,0.115513,0.115513,0.114397,0.114397,0.089018,11603200
09/03/1981,0.106027,0.106027,0.105469,0.105469,0.082071,15321600
10/03/1981,0.101004,0.101004,0.100446,0.100446,0.078162,28380800
11/03/1981,0.097656,0.097656,0.09654,0.09654,0.075122,29859200
12/03/1981,0.100446,0.101004,0.100446,0.100446,0.078162,59248000
13/03/1981,0.099888,0.099888,0.09933,0.09933,0.077294,231302400
16/03/1981,0.103237,0.104353,0.103237,0.103237,0.080334,37228800
17/03/1981,0.108259,0.109375,0.108259,0.108259,0.084242,43747200
18/03/1981,0.114955,0.116071,0.114955,0.114955,0.089452,36937600
19/03/1981,0.114397,0.114397,0.113839,0.113839,0.088584,37811200
